,DebtToIncomeRatio,count
1057,7.9,1
1058,0.21176999999999999,1
1059,0.10634,1
1060,0.19354000000000002,1
1061,0.11557,1
1062,0.17465999999999998,1
1063,0.02743,1
1064,0.12017,1
1065,0.05794,1
1066,0.01544,1
1067,0.06737,1
1068,0.16698,1
1069,0.27805,1
1070,0.17693,1
1071,0.40465999999999996,1
1072,2.08,1
1073,0.30906,1
1074,0.1232,1
1075,2.18,1
1076,0.17413,1
1077,0.07137,1
1078,3.07,1
1079,0.0503,1
1080,0.12393,1
1081,0.0315,1
1082,4.29,1
1083,0.18235,1
1084,0.23383,1
1085,0.25211,1
1086,0.09346,1
1087,0.19330999999999998,1
1088,0.4137,1
1089,0.26731,1
1090,0.05499,1
1091,0.1203,1
1092,2.23,1
1093,0.14609,1
1094,0.0248,1
1095,0.13248,1
1096,0.0954,1
1097,0.11377999999999999,1
1098,0.28002,1
1099,3.59,1
1100,0.11835999999999999,1
1101,0.19185,1
1102,0.12115,1
1103,3.54,1
1104,4.27,1
1105,0.14581,1
1106,0.30724,1
1107,6.49,1
1108,0.12675999999999998,1
1109,0.11704,1
1110,0.02187,1
1111,0.10840999999999999,1
1112,0.07672000000000001,1
1113,0.07509,1
1114,0.19624,1
1115,0.01315,1
1116,0.060289999999999996,1
1117,5.1,1
1118,0.14484,1
1119,0.37001999999999996,1
1120,0.03963,1
1121,0.60618,1
1122,0.1272,1
1123,4.44,1
1124,0.01275,1
1125,5.67,1
1126,0.10814000000000001,1
1127,0.08513,1
1128,0.13845,1
1129,1.35,1
1130,3.14,1
1131,0.03614,1
1132,0.045939999999999995,1
1133,0.24633000000000002,1
1134,0.09353,1
1135,0.0807,1
1136,0.27063000000000004,1
1137,0.13463,1
1138,0.13908,1
1139,0.27466999999999997,1
1140,0.06255,1
1141,0.1382,1
1142,0.18465,1
1143,0.051660000000000005,1
1144,0.57091,1
1145,0.21018,1
1146,0.07305,1
1147,0.08752,1
1148,0.04185,1
1149,0.35155,1
1150,0.02852,1
1151,0.01747,1
1152,0.13417,1
1153,0.15185,1
1154,2.55,1
1155,0.06863999999999999,1
1156,0.1831,1
1157,5.26,1
1158,0.12991,1
1159,0.14497000000000002,1
1160,0.12984,1
1161,0.09577999999999999,1
1162,0.06942000000000001,1
1163,1.67,1
1164,0.13905,1
1165,0.033,1
1166,7.52,1
1167,0.01853,1
1168,0.0795,1
1169,0.16573,1
1170,0.12324,1
1171,0.17914000000000002,1
1172,0.23031999999999997,1
1173,3.28,1
1174,0.07418999999999999,1
1175,0.09031,1
1176,5.23,1
1177,0.16164,1
1178,0.10695999999999999,1
1179,6.95,1
1180,7.59,1
1181,0.08582000000000001,1
1182,0.11773,1
1183,0.0485,1
1184,0.02343,1
1185,0.022869999999999998,1
1186,0.04793,1
1187,0.34443,1
1188,8.53,1
1189,0.047580000000000004,1
1190,0.02685,1
1191,0.08127999999999999,1
1192,0.1715,1
1193,0.13657,1
1194,0.06154,1
